collected_at,platform,title
2026-02-24 09:28:35,Munpia,"195현대판타지, 퓨전귀환자 삼촌이 요리를 너무 잘함배부른콩"
2026-02-24 09:28:35,Munpia,"98미국 통조림 왕이 되었다살틀글쟁이현대판타지, 대체역사5495"
2026-02-24 09:28:35,Munpia,"199판타지, 퓨전고인물 용병이 회귀했다블루티풀"
2026-02-24 09:28:35,Munpia,163공장 잘린 후 대박 자리가 보임고대신현대판타지10218
2026-02-24 09:28:35,Munpia,"147해고당한 천재 엔지니어, 100조 가치를 보다강그린판타지, 현대판타지23279"
2026-02-24 09:28:35,Munpia,"107현대판타지, 판타지신화급 창고를 가지고 귀환했다느린생각"
2026-02-24 09:28:35,Munpia,"24스포츠, 현대판타지골키퍼를 때려치니 괴물 천재 득점왕교리패인"
2026-02-24 09:28:35,Munpia,88군대에 700번 갔다오니 너무 강해짐정글포켓현대판타지22594
2026-02-24 09:28:35,Munpia,167나 혼자 아포칼립스 자원 무한 앞마당하얀색고래현대판타지23207
2026-02-24 09:28:35,Munpia,144이혼 후 해고까지 당했는데 로또를 맞아서 오히려 좋아!흑곰작가현대판타지23284
2026-02-24 09:28:35,Munpia,"70주식 천재인 거 나만 모름탈주병현대판타지, 퓨전10866"
2026-02-24 09:28:35,Munpia,"19현대판타지, 드라마방송했더니 천재 의사로 착각당했다저기요선생"
2026-02-24 09:28:35,Munpia,"21귀환한 삼촌이 국가에게 버림받음차강현대판타지, 판타지202,641"
2026-02-24 09:28:35,Munpia,144현대판타지이혼 후 해고까지 당했는데 로또를 맞아서 오히려 좋아!흑곰작가
2026-02-24 09:28:35,Munpia,"83곧 망할 대기업의 오너 일가가 되었다송장벌레현대판타지, 판타지7648"
2026-02-24 09:28:35,Munpia,일반연재
2026-02-24 09:28:35,Munpia,"120굿즈 쓰는 대마법사다원.게임, 판타지6367"
2026-02-24 09:28:35,Munpia,"27탈모약 개발했더니 백악관에서 전화옴Mrpotato현대판타지61,956"
2026-02-24 09:28:35,Munpia,"40현대판타지, 판타지딸깍 한 번에 천재 배우로 착각 당했다비누향"
2026-02-24 09:28:35,Munpia,"97각성 후 미국 창고경매로 떼돈이 벌림기시감이현대판타지, 판타지18496"
2026-02-24 09:28:35,Munpia,"61스포츠, 현대판타지간절한 천재는 NBA를 씹어 먹는다미에크"
2026-02-24 09:28:35,Munpia,"169스포츠, 현대판타지방출된 원클럽맨은 착각을 유도하지 못했다난길."
2026-02-24 09:28:35,Munpia,"72우리 아빠는 재해 테이머리슝현대판타지, 판타지11812"
2026-02-24 09:28:35,Munpia,"136현대판타지, 판타지상속받은 뒷마당에 마석 광산이 열렸다글쓰는벌레"
2026-02-24 09:28:35,Munpia,"31연금 250억 받는데 퇴물 연예인들이 눈에 밟힘장탄현대판타지, 판타지211,829"
2026-02-24 09:28:35,Munpia,작가연재
2026-02-24 09:28:35,Munpia,"25재활만 했는데 드래곤의 힘을 얻었다글포터현대판타지, 퓨전22,092"
2026-02-24 09:28:35,Munpia,"140삼국지 : 회사원이 눈치를 보면 생기는 일chowoe판타지, 대체역사13293"
2026-02-24 09:28:35,Munpia,8현대판타지미국 깡촌의 검은머리 천재 공무원아우라빈
